,Z1,Z2,Z3,Z4,Z5
294,0.027953815,-0.119420126,-0.3297892,-0.5491182,-0.061023742
295,-0.17064933,0.5150052,-0.048248034,-0.4346394,-0.085630976
296,-0.38838935,-0.55047613,0.39510912,0.055121608,-0.09432706
297,-0.06465895,-0.33116347,-0.1519213,-0.030798325,-0.1472156
298,-0.367351,-0.30124867,0.43878725,-0.14005524,0.20026049
299,0.10877609,0.47650906,-0.25699097,-0.033533208,0.3684067
300,-0.42359623,-0.084629975,-0.33116996,-0.30034107,0.50515777
301,0.34974223,0.5230737,0.0020572566,-0.2379311,-0.20639734
302,-0.35879526,-0.054065228,0.09093501,0.49473304,-0.1467374
303,0.033863373,0.15957835,0.29039854,0.08216069,0.266861
304,0.26297224,0.6680232,-0.11581744,-0.058710042,0.3221797
305,-0.12478499,0.22258902,-0.16007008,-0.36817077,0.37826878
306,-0.38829976,0.05239431,0.27004603,-0.558563,0.17654365
307,0.0076590525,0.40560886,-0.25902945,-0.26558772,-0.15188904
308,-0.1324723,-0.1065252,-0.5066063,-0.06801384,-0.49391595
309,-0.41051516,0.27737346,-0.45439875,-0.33148357,0.2013292
310,-0.09019309,-0.6843353,-0.3326676,0.035977926,0.05003636
311,-0.27811345,0.07915052,0.09239332,0.1195937,0.27443287
312,0.1682609,-0.6700156,-0.11433782,-0.35890192,0.10614073
313,0.056536257,-0.47336707,-0.4297608,0.3708758,-0.2847236
314,-0.092657566,-0.28061774,0.33948913,0.13158807,0.08743066
315,0.3976946,0.037015714,-0.40137902,-0.044941824,-0.2662542
316,-0.097330436,0.1910468,0.39053282,-0.23864429,0.41668248
317,-0.5598711,-0.44423363,-0.11088438,0.16566747,-0.4337907
318,0.023803772,0.018461805,0.33864433,0.12627976,-0.14097539
319,0.36643046,0.1123361,-0.11419679,0.07148749,-0.59282863
320,0.082363844,0.33197358,-0.043640684,0.5179657,-0.46171057
321,0.36696714,0.20767973,-0.38599068,-0.40051937,-0.21455255
322,-0.24658465,-0.0050554127,0.27501145,0.009113193,0.054912977
323,-0.23161638,-0.024055619,0.36160007,0.4461866,0.1774064
324,-0.15845858,-0.5723106,0.43370026,0.2379003,-0.07784972
325,0.02803205,0.668643,-0.24026732,0.24052653,-0.31476998
326,-0.2870578,-0.29709753,0.016645936,-0.31354973,-0.2731681
327,0.101425044,-0.018399013,-0.18387787,-0.070913374,-0.032589138
328,-0.4409809,-0.21824968,0.3943258,0.11708036,-0.40991065
329,0.31842852,0.17151722,-0.05242068,-0.15578237,0.31966332
330,0.66788393,-0.087378345,0.14740363,-0.083233394,-0.37748453
331,-0.5306197,0.011322321,-0.103122145,-0.55922973,0.15096657
332,0.26581538,0.14699799,-0.054602355,0.4211643,-0.37604102
333,0.042742398,0.59989786,0.061305728,0.057314433,-0.2519659
334,-0.32837093,-0.38911575,-0.42569366,-0.0491313,-0.24765779
335,-0.24271129,-0.35431346,0.05485362,-0.5080315,0.18612848
336,-0.079481184,0.42247763,-0.00059968885,0.20705849,0.44953585
337,0.27166322,-0.2249145,0.2031666,-0.109917924,-0.52942276
338,-0.40816352,0.2974242,-0.11791555,0.5715294,-0.3413398
339,0.24978785,0.08446293,0.039325375,-0.1368123,-0.3626214
340,-0.36064774,0.08040224,0.3142935,-0.48854786,-0.09929288
341,0.0956863,0.43381533,-0.20504838,0.024227664,0.055127036
342,0.25170147,0.16857205,0.3743459,-0.39692518,-0.11681958
343,0.03723551,0.17694357,-0.303564,0.09144541,-0.41247046
344,0.06426742,-0.042204536,0.28999647,0.27852005,-0.38274318
345,-0.17684455,-0.44018832,-0.44030556,-0.561093,0.17596328
